"id","model_id","size","manual_price","pneumatic_price","electric_price","gear_price","gate_304_diff","gate_316_diff","rod_304_diff","rod_316_diff","branding_fee","min_order_qty","status","remark","created_at","_openid"
"1592","176","100","0.00","0.00","0.00","1130.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:32","import"
"1593","176","125","0.00","0.00","0.00","1260.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:33","import"
"1594","176","150","0.00","0.00","0.00","1490.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:33","import"
"1595","176","200","0.00","0.00","0.00","1850.00","0.00","0.00","0.00","0.00","30.00","50","enabled","","2026-06-09 22:59:33","import"
"1596","176","250","0.00","0.00","0.00","2400.00","0.00","0.00","0.00","0.00","50.00","30","enabled","","2026-06-09 22:59:34","import"
"1597","176","300","0.00","0.00","0.00","3100.00","0.00","0.00","0.00","0.00","60.00","30","enabled","","2026-06-09 22:59:34","import"
"1598","176","350","0.00","0.00","0.00","3700.00","0.00","0.00","0.00","0.00","70.00","30","enabled","","2026-06-09 22:59:34","import"
"1599","176","400","0.00","0.00","0.00","4500.00","0.00","0.00","0.00","0.00","80.00","30","enabled","","2026-06-09 22:59:34","import"
"1600","176","450","0.00","0.00","0.00","5300.00","0.00","0.00","0.00","0.00","100.00","6","enabled","","2026-06-09 22:59:35","import"
"1601","176","500","0.00","0.00","0.00","6800.00","0.00","0.00","0.00","0.00","150.00","6","enabled","","2026-06-09 22:59:35","import"
"1602","176","600","0.00","0.00","0.00","9500.00","0.00","0.00","0.00","0.00","250.00","6","enabled","","2026-06-09 22:59:35","import"
"1603","176","700","0.00","0.00","0.00","13500.00","0.00","0.00","0.00","0.00","450.00","2","enabled","","2026-06-09 22:59:36","import"
"1604","176","800","0.00","0.00","0.00","17400.00","0.00","0.00","0.00","0.00","650.00","2","enabled","","2026-06-09 22:59:36","import"
"1605","176","900","0.00","0.00","0.00","21400.00","0.00","0.00","0.00","0.00","900.00","2","enabled","","2026-06-09 22:59:36","import"
"1606","176","1000","0.00","0.00","0.00","25400.00","0.00","0.00","0.00","0.00","1000.00","2","enabled","","2026-06-09 22:59:37","import"
"1607","177","65","0.00","790.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:37","import"
"1608","177","80","0.00","740.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:38","import"
"1609","177","100","0.00","830.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:38","import"
"1610","177","125","0.00","920.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:38","import"
"1611","177","150","0.00","1080.00","0.00","0.00","0.00","0.00","0.00","0.00","25.00","50","enabled","","2026-06-09 22:59:39","import"
"1612","177","200","0.00","1350.00","0.00","0.00","0.00","0.00","0.00","0.00","30.00","50","enabled","","2026-06-09 22:59:39","import"
"1613","177","250","0.00","1750.00","0.00","0.00","0.00","0.00","0.00","0.00","50.00","30","enabled","","2026-06-09 22:59:39","import"
"1614","177","300","0.00","2200.00","0.00","0.00","0.00","0.00","0.00","0.00","60.00","30","enabled","","2026-06-09 22:59:39","import"
"1615","177","350","0.00","2650.00","0.00","0.00","0.00","0.00","0.00","0.00","70.00","30","enabled","","2026-06-09 22:59:40","import"
"1616","177","400","0.00","3200.00","0.00","0.00","0.00","0.00","0.00","0.00","80.00","30","enabled","","2026-06-09 22:59:40","import"
"1617","177","450","0.00","3750.00","0.00","0.00","0.00","0.00","0.00","0.00","100.00","6","enabled","","2026-06-09 22:59:40","import"
"1618","177","500","0.00","4900.00","0.00","0.00","0.00","0.00","0.00","0.00","150.00","6","enabled","","2026-06-09 22:59:41","import"
"1619","177","600","0.00","6750.00","0.00","0.00","0.00","0.00","0.00","0.00","250.00","6","enabled","","2026-06-09 22:59:41","import"
"1620","177","700","0.00","9550.00","0.00","0.00","0.00","0.00","0.00","0.00","450.00","2","enabled","","2026-06-09 22:59:41","import"
